date	time	open	high	low	close	tickvolume	volume	spread
2018.06.01	00:00:00	1.16879	1.16906	1.16852	1.16855	8	0	47
2018.06.01	00:01:00	1.16871	1.16884	1.16871	1.16879	13	0	31
2018.06.01	00:02:00	1.16879	1.16900	1.16872	1.16895	16	0	31
2018.06.01	00:03:00	1.16895	1.16895	1.16883	1.16890	6	0	28
2018.06.01	00:04:00	1.16890	1.16895	1.16884	1.16894	7	0	29
2018.06.01	00:05:00	1.16894	1.16903	1.16888	1.16903	16	0	17
2018.06.01	00:06:00	1.16903	1.16903	1.16891	1.16893	8	0	27
2018.06.01	00:07:00	1.16893	1.16939	1.16888	1.16939	38	0	11
2018.06.01	00:08:00	1.16939	1.16939	1.16914	1.16914	10	0	7
2018.06.01	00:09:00	1.16916	1.16926	1.16913	1.16926	13	0	22
2018.06.01	00:10:00	1.16926	1.16926	1.16916	1.16919	45	0	22
2018.06.01	00:11:00	1.16921	1.16921	1.16918	1.16919	11	0	25
2018.06.01	00:12:00	1.16919	1.16919	1.16915	1.16919	4	0	22
2018.06.01	00:13:00	1.16919	1.16922	1.16916	1.16919	13	0	21
2018.06.01	00:14:00	1.16919	1.16924	1.16919	1.16923	26	0	17
2018.06.01	00:15:00	1.16923	1.16923	1.16920	1.16923	22	0	17
2018.06.01	00:16:00	1.16923	1.16928	1.16918	1.16928	28	0	14
2018.06.01	00:17:00	1.16928	1.16928	1.16924	1.16924	6	0	22
2018.06.01	00:18:00	1.16924	1.16945	1.16924	1.16927	24	0	17
2018.06.01	00:19:00	1.16927	1.16935	1.16926	1.16931	10	0	22
2018.06.01	00:20:00	1.16931	1.16937	1.16930	1.16936	8	0	22
2018.06.01	00:21:00	1.16936	1.16937	1.16930	1.16930	7	0	22
2018.06.01	00:22:00	1.16930	1.16930	1.16928	1.16929	3	0	24
2018.06.01	00:23:00	1.16929	1.16931	1.16927	1.16927	5	0	22
2018.06.01	00:24:00	1.16927	1.16927	1.16924	1.16924	6	0	22
2018.06.01	00:25:00	1.16924	1.16925	1.16924	1.16924	5	0	22
2018.06.01	00:26:00	1.16924	1.16924	1.16898	1.16904	13	0	12
2018.06.01	00:27:00	1.16904	1.16906	1.16901	1.16903	10	0	19
2018.06.01	00:28:00	1.16902	1.16903	1.16900	1.16900	14	0	21
2018.06.01	00:29:00	1.16903	1.16906	1.16901	1.16905	9	0	17
2018.06.01	00:30:00	1.16903	1.16908	1.16897	1.16904	64	0	16
2018.06.01	00:31:00	1.16904	1.16927	1.16901	1.16910	41	0	8
2018.06.01	00:32:00	1.16910	1.16944	1.16906	1.16906	62	0	11
2018.06.01	00:33:00	1.16906	1.16930	1.16906	1.16930	24	0	12
2018.06.01	00:34:00	1.16930	1.16938	1.16923	1.16926	33	0	7
2018.06.01	00:35:00	1.16928	1.16928	1.16919	1.16921	33	0	8
2018.06.01	00:36:00	1.16921	1.16929	1.16912	1.16917	46	0	7
2018.06.01	00:37:00	1.16919	1.16921	1.16913	1.16915	28	0	8
2018.06.01	00:38:00	1.16915	1.16915	1.16905	1.16905	6	0	13
2018.06.01	00:39:00	1.16905	1.16922	1.16893	1.16915	91	0	7
2018.06.01	00:40:00	1.16915	1.16926	1.16902	1.16905	71	0	9
2018.06.01	00:41:00	1.16905	1.16920	1.16903	1.16914	29	0	15
2018.06.01	00:42:00	1.16915	1.16916	1.16914	1.16914	10	0	15
2018.06.01	00:43:00	1.16914	1.16916	1.16913	1.16915	11	0	14
2018.06.01	00:44:00	1.16915	1.16915	1.16911	1.16912	11	0	11
2018.06.01	00:45:00	1.16912	1.16914	1.16909	1.16913	37	0	10
2018.06.01	00:46:00	1.16912	1.16912	1.16892	1.16897	24	0	10
2018.06.01	00:47:00	1.16897	1.16904	1.16891	1.16899	93	0	8
2018.06.01	00:48:00	1.16899	1.16917	1.16893	1.16909	70	0	5
2018.06.01	00:49:00	1.16909	1.16909	1.16907	1.16907	5	0	12
2018.06.01	00:50:00	1.16907	1.16921	1.16903	1.16907	25	0	6
2018.06.01	00:51:00	1.16907	1.16909	1.16902	1.16908	6	0	10
2018.06.01	00:52:00	1.16908	1.16911	1.16908	1.16910	11	0	8
2018.06.01	00:53:00	1.16910	1.16913	1.16910	1.16911	8	0	7
2018.06.01	00:54:00	1.16911	1.16912	1.16904	1.16912	12	0	8
2018.06.01	00:55:00	1.16912	1.16912	1.16910	1.16912	9	0	9
2018.06.01	00:56:00	1.16912	1.16923	1.16908	1.16915	56	0	6
2018.06.01	00:57:00	1.16916	1.16927	1.16914	1.16922	66	0	5
2018.06.01	00:58:00	1.16922	1.16922	1.16919	1.16920	5	0	13
2018.06.01	00:59:00	1.16920	1.16930	1.16916	1.16917	28	0	8
2018.06.01	01:00:00	1.16917	1.16920	1.16915	1.16920	22	0	8
2018.06.01	01:01:00	1.16920	1.16927	1.16920	1.16925	14	0	10
2018.06.01	01:02:00	1.16925	1.16932	1.16925	1.16928	23	0	7
2018.06.01	01:03:00	1.16927	1.16930	1.16927	1.16930	9	0	7
2018.06.01	01:04:00	1.16930	1.16933	1.16930	1.16933	6	0	7
2018.06.01	01:05:00	1.16933	1.16940	1.16933	1.16935	16	0	6
2018.06.01	01:06:00	1.16936	1.16938	1.16935	1.16938	13	0	7
2018.06.01	01:07:00	1.16938	1.16940	1.16936	1.16940	18	0	7
2018.06.01	01:08:00	1.16940	1.16944	1.16936	1.16944	19	0	7
2018.06.01	01:09:00	1.16944	1.16949	1.16943	1.16949	30	0	6
2018.06.01	01:10:00	1.16949	1.16949	1.16943	1.16944	9	0	4
2018.06.01	01:11:00	1.16944	1.16949	1.16942	1.16946	20	0	6
2018.06.01	01:12:00	1.16946	1.16946	1.16940	1.16940	9	0	6
2018.06.01	01:13:00	1.16940	1.16950	1.16940	1.16947	13	0	5
2018.06.01	01:14:00	1.16947	1.16948	1.16947	1.16948	2	0	5
2018.06.01	01:15:00	1.16948	1.16949	1.16947	1.16947	10	0	6
2018.06.01	01:16:00	1.16947	1.16949	1.16945	1.16945	7	0	6
2018.06.01	01:17:00	1.16945	1.16950	1.16945	1.16947	857	0	5
2018.06.01	01:18:00	1.16948	1.16951	1.16942	1.16942	30	0	5
2018.06.01	01:19:00	1.16942	1.16950	1.16942	1.16948	44	0	5
2018.06.01	01:20:00	1.16949	1.16968	1.16948	1.16967	46	0	5
2018.06.01	01:21:00	1.16967	1.16976	1.16967	1.16972	28	0	5
